,pursuer,victim,coefficient
159,AE6042IE,AE7583AE,0.75
160,AE2143HH,AE4682EE,0.75
161,AE1279CX,AP2977CT,0.75
162,AE9206,XE9206HT,0.75
163,AE9206,AE9206HI,0.75
164,AE1101HK,AE2383BC,0.75
165,AE8642KC,AE9810CB,0.75
166,SK383GE,BSK383,0.75
167,SK383GE,SI383GE,0.75
168,AE5885BC,AE6231KB,0.75
169,AE5137IA,AE9188EO,0.75
170,AE3767,AE0075EP,0.75
171,AE5014BX,AE3164,0.75
172,AE5795,AE7734,0.75
173,AI8604CX,AI8604,0.75
174,AE2949HB,AE6964EO,0.75
175,AE7847AA,AE8697,0.75
176,AE6400IH,AE1229CK,0.75
177,AE0039,AE7050,0.75
178,AE4856CM,AE6414EP,0.75
179,AE0603BI,AE9783IM,0.75
180,AE5906IT,AE5853EX,0.75
181,PKA06HA,EIPI6512,0.75
182,AE8922CE,AE5100EO,0.75
183,AX2749AC,AE0956HC,0.75
184,AH5800II,AH5800,0.75
185,AE8107,AB107,0.75
186,01906AB,AE0459IT,0.75
187,Е5351АА,XE5351AA,0.75
188,AE7490EI,91472AB,0.75
189,AE2397KE,AE0118IM,0.75
190,AE3193KC,AE2624KA,0.75
191,AE0051,AE5172,0.75
192,HTN544,AE1243AE,0.75
193,AE2498EX,AE8445AT,0.75
194,IIE1158,WEE1158A,0.75
195,IIE1158,WE1158A,0.75
196,AE6964AC,AE6964,0.75
197,AE1905AI,AE190SA,0.75
198,AEB65,AIB69,0.75
199,AE2442AX,AE7987,0.75
200,AE6979IP,AE6979II,0.75
201,97092AE,27092AC,0.75
202,AE439HA,IE4439HA,0.75
203,97092AE,97092AC,0.75
204,AE1517HT,AE2168HB,0.75
205,KMD277,AE7682EB,0.75
206,AE8297,AE4155,0.75
207,00693OO,OS0098,0.75
208,AE5777BE,AE2166BT,0.75
209,AE6845HO,AE3764,0.75
210,AE5705EO,AE5609KC,0.75
211,AE4909KB,AEZ02,0.75
212,CTP08CV,AE1369CK,0.75
213,AE2325,AE6706,0.75
214,AE5244,AE1948HI,0.75
215,AE5244,AE7677AP,0.75
216,AE4177HI,AE1027HP,0.75
217,AE7611CB,AE4060AK,0.75
218,AE6374CO,AE9773HA,0.75
219,AE8871,AEB77,0.75
220,AE5874,AES87,0.75
221,AP3801CB,AID380,0.75
222,AE4979IM,WAE4979,0.75
223,AE5447EB,AE110HE,0.75
224,AE7221IB,AE1480KE,0.75
225,AX9330,IE5365HH,0.75
226,AA5273PA,AE0003AH,0.75
227,AE7778HB,AE2640,0.75
228,AE8731BM,AE9632BI,0.75
229,AE7124BO,BB7227AE,0.75
230,AP8059CT,AE1146EX,0.75
231,AE7660BX,BB3298BK,0.75
232,AE4493IK,AE4493,0.75
233,AE1725,AF1725,0.75
234,AE5791HT,AE0977BB,0.75
235,6M91694,AP6342,0.75
236,AE8331,AE0503EI,0.75
237,AE5146HO,AE7703EX,0.75
238,AE7784,Е0783ІЕ,0.75
239,AE5437HP,AE7223EC,0.75
240,AE0801HA,AE5789BE,0.75
241,AE0081AH,AE3314IP,0.75
242,AE0773HK,AI0773IH,0.75
243,Р0106КМ,AE2990BT,0.75
244,AE7779IO,AE9348HP,0.75
245,AE7325,AH9561,0.75
246,AE8248HB,AF4444,0.75
247,AE6517IT,AX9939CT,0.75
248,CA0093AO,А0093АО,0.75
249,CA0093AO,AO093,0.75
250,BB1998BB,AE9330KA,0.75
251,AE3074HO,AE3534,0.75
252,AE3686,AE4189,0.75
253,BI8350AH,28081HI,0.75
254,AE5923,AE0864,0.75
255,AE4094BX,AE0515CK,0.75
256,Е4740АТ,AE9697HO,0.75
257,62444AA,AE0729AI,0.75
258,AE0414KM,AE5748HX,0.75
259,AE332BK,Е3342ВК,0.75
260,AE6656IO,AE2225AH,0.75
261,AH1323,AP1323,0.75
262,AE9333CI,IHN709,0.75
263,AE1517HC,AE2101CP,0.75
264,FF4920,FI4920,0.75
265,AE1451AB,AE6895CT,0.75
266,AE2462IM,Е2462ІМ,0.75
267,AE8894,AE1767EK,0.75
268,AE2865,AE2865BH,0.75
269,11789BP,61789BP,0.75
270,AE7991IT,AI7742,0.75
271,AE6764CA,Е6764СА,0.75
272,Е6649СР,KBRI98,0.75
273,AE6160,AE7774CA,0.75
274,AE1615KO,С1615КО,0.75
275,AE5115CK,AE3963HE,0.75
276,AE1179,BI5467,0.75
277,AE1363,AE8456,0.75
278,AE2228CX,AE2229CX,0.75
279,AE9078HP,AE9078,0.75
280,AE2495KA,AE6863HK,0.75
281,AE1757HM,AE6405EI,0.75
282,AE2446IE,AE2446IC,0.75
283,AE0111CO,AE7128EX,0.75
284,AE5403BX,BE3954AI,0.75
285,AE3487IK,AE1098BB,0.75
286,Е7112ВК,AE8481KB,0.75
287,EO701,AE0701AM,0.75
288,AE1085,AE3293,0.75
289,AE0012,AE7779CA,0.75
290,AI3819,AE5850,0.75
291,AE8642KC,AA5038OA,0.75
292,AE0635HO,AE0154HK,0.75
293,AP3445AT,AP3445AI,0.75
294,AE5237,AF5237,0.75
295,AE6514CO,AE6514CC,0.75
296,AE3839IB,AE5507EK,0.75
297,AE3603IK,AE7427HB,0.75
298,AE0610BH,AE7581EO,0.75
299,AX7065EM,Х7065ЕМ,0.75
300,AE5553,AFS55,0.75
301,AE1696KC,AE6365CH,0.75
302,AE0313KA,AI0211EM,0.75
303,12661PI,С1266ІР,0.75
304,Е3263ВІ,AE3263BA,0.7397260273972602
305,AE5930,AES9301,0.7383966244725738
306,AE1333CT,AE7590EI,0.7368421052631579
307,ES360,AE5360,0.7368421052631579
308,AES844,AE8741HP,0.7368421052631579
309,IZD632,FZD632,0.734375
310,AE8324EI,AE8124EI,0.729483282674772
311,AE6052CI,AE8889KA,0.7272727272727273
312,AES844,AE7260CO,0.7272727272727273
313,AES844,AE8556EE,0.7272727272727273
314,AEE36,AE3674,0.7222222222222222
315,KAA810,KAAB10,0.72
316,AE1660,AE1660HB,0.7142857142857143
317,AE1705,AE1709,0.7142857142857143
318,AE5376,IAEE5376,0.7142857142857143
319,AP0661BH,AX8034AO,0.7142857142857143
320,AE5118,AE5118HB,0.7142857142857143
321,AE2294BX,AE0288AK,0.7142857142857143
322,AE4578AA,AE8740HP,0.7142857142857143
323,AE5743,AE5743HH,0.7142857142857143
324,AES844,AE6211BM,0.7142857142857143
325,AE0390,03901OI,0.7142857142857143
326,AE8800,PAE8800,0.7142857142857143
327,AB103AD,AB103ND,0.7142857142857143
328,48179AA,AE0507PE,0.7142857142857143
329,AE0706,AA2418,0.7142857142857143
330,AE8919,AE4170AB,0.7142857142857143
331,AE8919,AI8919,0.7142857142857143
332,AE5743,57438HH,0.7142857142857143
333,AE5743,57431HH,0.7142857142857143
334,32515AI,32515AH,0.7142857142857143
335,32515AI,32515AP,0.7142857142857143
336,WEO329CT,IE0329CT,0.7142857142857143
337,AE5007,AE6236EC,0.7142857142857143
338,AE8869,AEB869,0.7142857142857143
339,TE7641IB,IE7641IB,0.7058823529411765
340,IE7641IB,TE7641IB,0.7058823529411765
341,AP0661BH,AFO66,0.7058823529411765
342,AE0507PE,48179AA,0.7
343,AES844,AE1722KA,0.6976744186046512
344,AE9584,AE9584BX,0.6923076923076923
345,AE8124EI,AE8324EI,0.6905444126074498
346,AE7848IO,AE5647IT,0.6818181818181818
347,О6006АО,О6006АГ,0.678391959798995
348,С4690ІМ,AE4690,0.6774193548387096
349,AE5930,AIE593,0.6721854304635762
350,AE7158,AE5983,0.6666666666666666
351,AE5258HX,AE7193IK,0.6666666666666666
352,AE7425EO,AE6498II,0.6666666666666666
353,AE8640IX,AE3117KC,0.6666666666666666
354,OL008A,AP1110PO,0.6666666666666666
355,AE9688AT,AE8356ET,0.6666666666666666
356,AE7091CK,AE0847EP,0.6666666666666666
357,AE7744,AE1032KB,0.6666666666666666
358,AA2254OX,AE7676HA,0.6666666666666666
359,KR638RY,KF2638,0.6666666666666666
360,AE3452CB,AE7931EA,0.6666666666666666
361,AE9815IK,AE7263HE,0.6666666666666666
362,AE9939HM,AE1994IC,0.6666666666666666
363,AE4616CO,AE2374,0.6666666666666666
364,AE9629KA,AE7699,0.6666666666666666
365,AE3851HE,AE1328CO,0.6666666666666666
366,AE8581AB,AE6172IC,0.6666666666666666
