,pursuer,victim,coefficient
796,AE0854CT,AE5772EA,0.048
797,AE7788HE,AE5565AI,0.045454545454545456
798,AE9904CI,AE5565AI,0.045454545454545456
799,AE8897HH,AE4061IX,0.044642857142857144
800,AE4473IH,AE7475IK,0.04411764705882353
801,AA7646TO,AE7475IK,0.04411764705882353
802,AE0662AB,AE7475IK,0.04411764705882353
803,AE7280IX,AE8955CT,0.04310344827586207
804,AE8686IH,AE5829CE,0.043010752688172046
805,AE8836BB,AE5829CE,0.043010752688172046
806,AE9015IK,AE5829CE,0.043010752688172046
807,AE7384HM,AE8686IH,0.0423728813559322
808,AE3231CA,AE8686IH,0.0423728813559322
809,AE6082HI,AE7417AK,0.04225352112676056
810,AB6871CT,HGG997,0.04142011834319527
811,AP5199EK,HGG997,0.04142011834319527
812,AE8461KB,HGG997,0.04142011834319527
813,AE9563EX,HGG997,0.04142011834319527
814,AE2509KB,AE2705KC,0.037037037037037035
815,AP5199EK,AE2705KC,0.037037037037037035
816,AE0794EP,AE2705KC,0.037037037037037035
817,AE9456EB,AE2705KC,0.037037037037037035
818,AE9563EX,AE2705KC,0.037037037037037035
